Rut;Dv;Nombres;Apellidop;Apellidom;FecNacimiento;Sexo;EstadoCivil;Nacionalidad;Dirección;Región;Comuna;Fono;Email;FechaIngreso;Fecinicvacaciones;Saldoinicvacaciones;Saldoinicvacprog;Tipocontrato;Parttime;Segcesantia;FecAfc;Pensionado;Diastrabajo;Horasdiarias;Horassemanales;Sueldobase;Tipogratificación;Montogratificación;Cargassimples;Cargasinválidas;Cargasmaternales;Tramoasigfamiliar;Movilización;Colación
29932160;6;Miguela;Soler;Cabello;27-04-1980;F;C;46;Calle 1;7;7101;908999509;ejemplo1@ejemplo.com;10-12-2018;10-12-2018;0;0;I;N;S;10-12-2018;N;30;8;45;400000;SG;0;1;0;1;A;0;0
4983389;K;Chucho;Abad;Carro;16-09-1981;M;C;46;Calle 2;7;7301;970413717;ejemplo2@ejemplo.com;17-06-2013;17-06-2013;0;0;I;N;S;17-06-2014;N;30;8;45;410000;SG;0;2;0;0;C;0;0
24238579;9;Cosme;Garrido;Vives;01-02-1986;M;S;46;Calle 3;7;7101;923797767;ejemplo3@ejemplo.com;24-07-2013;01-05-2016;5;1;I;N;S;24-07-2013;N;30;8;45;420000;TL;0;0;0;0;;0;0
36987736;4;Daniel;Cabello;Montes;28-09-1992;M;S;46;Calle 4;7;7101;919310209;ejemplo4@ejemplo.com;29-07-2012;29-07-2012;0;0;I;N;S;29-07-2012;N;30;8;45;430000;TL;0;0;0;0;;0;0
15271739;3;Ani;Perales;Vives;07-06-1981;M;C;46;Calle 5;7;7101;960127269;ejemplo5@ejemplo.com;13-06-2010;13-06-2010;0;0;I;N;S;13-06-2010;N;30;8;45;440000;TL;0;0;0;0;;0;15000
9613468;1;Lucía;Gonzalo;Perera;06-09-1993;F;C;46;Calle 6;7;7101;941393673;ejemplo6@ejemplo.com;15-08-2019;15-08-2019;0;0;I;N;S;15-08-2019;N;30;8;45;450000;TL;0;0;0;0;;0;0
18155395;2;Gonzalo;Benavides;Mata;24-04-1995;M;V;46;Calle 7;13;13101;959131072;ejemplo7@ejemplo.com;15-08-2016;15-08-2016;0;0;I;N;S;15-08-2016;N;30;6;30;460000;TL;0;0;0;0;;0;0
36652323;5;Edelmiro;Real;Santos;30-03-1994;M;V;46;Calle 8;13;13101;903029142;ejemplo8@ejemplo.com;02-02-2014;02-02-2014;0;0;I;N;N;02-02-2014;N;30;8;45;470000;TL;0;0;0;0;;15000;0
10004031;K;Lorenza;Español;Ferrero;05-01-1992;F;S;46;Calle 9;13;13101;968923063;ejemplo9@ejemplo.com;23-05-2015;23-05-2015;0;0;I;N;N;01-03-2016;S;30;8;45;480000;TL;0;0;0;0;;0;0
22225622;4;Eliseo;Valentín;Amaya;13-04-1987;M;C;46;Calle 10;13;13101;920675688;ejemplo10@ejemplo.com;28-10-2014;28-10-2014;0;0;I;N;S;28-10-2014;N;25;8;45;490000;SG;0;0;0;0;;0;0
30253619;8;Amador;Pascual;Gonzalo;07-02-1983;M;V;232;Calle 11;13;13101;996106409;ejemplo11@ejemplo.com;21-11-2016;05-06-2019;7;2;I;N;S;21-11-2016;N;30;8;45;500000;MF;50000;0;0;0;;0;0
27231178;1;María;Jesús;Nadal;18-02-1986;F;S;46;Calle 12;7;7301;923610503;ejemplo12@ejemplo.com;24-08-2011;24-08-2011;0;0;I;N;S;24-08-2011;N;30;8;45;510000;TL;0;0;0;0;;0;20000
17531547;0;Fortunata;Aguilar;Pinilla;11-10-1991;F;S;46;Calle 13;7;7101;909242219;ejemplo13@ejemplo.com;21-02-2011;21-02-2011;0;0;I;N;S;21-02-2011;N;30;8;45;520000;MF;75000;0;0;0;;0;0
13363222;0;Alondra;Fuster;Aguilar;02-03-1982;F;S;52;Calle 14;7;7101;978667278;ejemplo14@ejemplo.com;22-07-2014;22-07-2014;0;0;I;N;S;22-07-2014;N;28;8;45;530000;SG;0;0;0;0;;0;0
3057841;4;Adoración;Peinado;Mayoral;07-08-1987;F;C;46;Calle 15;7;7101;919861122;ejemplo15@ejemplo.com;08-09-2018;08-09-2018;0;0;F;N;S;08-09-2018;N;30;8;45;540000;SG;0;0;0;0;;0;0
13263072;0;Román;Alemany;Cámara;10-10-1993;M;C;46;Calle 16;7;7101;982572597;ejemplo16@ejemplo.com;07-07-2018;07-07-2018;0;0;F;N;S;07-07-2018;N;30;8;45;550000;SG;0;1;1;0;B;0;0
30824807;0;Roldán;Robledo;Vazquez;07-09-1993;M;C;46;Calle 17;7;7101;918796562;ejemplo17@ejemplo.com;31-10-2015;31-10-2015;0;0;I;S;S;31-10-2015;N;30;8;45;560000;SG;0;1;0;0;A;10000;0
6671646;5;Desiderio;Lucas;Bravo;26-10-1986;M;S;173;Calle 18;6;6101;999181067;ejemplo18@ejemplo.com;22-06-2017;22-06-2017;0;0;I;N;S;22-06-2017;N;30;8;45;570000;TL;0;1;0;0;C;0;0
23487159;5;Cándido;Bravo;Palomo;10-04-1993;M;C;46;Calle 19;6;6101;980308665;ejemplo19@ejemplo.com;01-02-2019;01-02-2019;0;0;I;N;S;01-02-2019;N;30;8;45;580000;TL;0;1;0;0;B;0;0
35886660;3;Águeda;Almeida;Sanchez;30-06-1988;M;D;46;Calle 20;7;7101;914686456;ejemplo20@ejemplo.com;03-04-2018;03-04-2018;0;0;I;N;S;03-04-2018;N;30;8;45;590000;TL;0;0;0;0;;0;0
24834846;1;Hermenegildo;Zurita;Lastra;04-07-1995;M;D;46;Calle 21;7;7101;912341359;ejemplo21@ejemplo.com;08-03-2018;08-03-2018;0;0;I;N;S;08-03-2018;N;30;8;45;600000;TL;0;0;0;0;;0;0
31359415;7;Renata;Bejarano;Llorens;06-07-1983;F;S;46;Calle 22;7;7101;965274214;ejemplo22@ejemplo.com;27-06-2011;30-09-2018;15;0;I;N;S;27-06-2011;N;30;8;45;610000;TL;0;0;0;0;;0;0
19977258;9;Timoteo;Grande;Alba;14-04-1995;M;C;46;Calle 23;7;7101;970662120;ejemplo23@ejemplo.com;22-03-2018;22-03-2018;0;0;I;N;S;22-03-2018;N;30;8;45;620000;TL;0;0;0;0;;0;0
